time,epoch,batch,loss,cost
0min0sec,0,0,0.000,3.732
0min2sec,0,10,0.000,3.753
0min3sec,0,20,0.000,3.747
0min2sec,0,30,0.000,3.750
0min2sec,0,40,0.000,3.757
0min2sec,0,50,0.000,3.759
0min2sec,0,60,0.000,3.761
0min2sec,0,70,0.000,3.765
0min2sec,0,80,0.000,3.764
0min2sec,0,90,0.000,3.764
0min2sec,1,0,0.000,3.757
0min2sec,1,10,0.000,3.758
0min2sec,1,20,0.000,3.764
0min2sec,1,30,0.000,3.761
0min3sec,1,40,0.000,3.757
0min3sec,1,50,0.000,3.760
0min4sec,1,60,0.000,3.764
0min3sec,1,70,0.000,3.764
0min3sec,1,80,0.000,3.764
0min3sec,1,90,0.000,3.761
0min3sec,2,0,0.000,3.825
0min4sec,2,10,0.000,3.750
0min4sec,2,20,0.000,3.755
0min3sec,2,30,0.000,3.746
0min4sec,2,40,0.000,3.755
0min4sec,2,50,0.000,3.752
0min4sec,2,60,0.000,3.754
0min4sec,2,70,0.000,3.755
0min5sec,2,80,0.000,3.756
0min4sec,2,90,0.000,3.755
0min4sec,3,0,0.000,3.755
0min4sec,3,10,0.000,3.757
0min4sec,3,20,0.000,3.742
0min4sec,3,30,0.000,3.748
0min4sec,3,40,0.000,3.749
0min6sec,3,50,0.000,3.748
0min4sec,3,60,0.000,3.749
0min4sec,3,70,0.000,3.750
0min4sec,3,80,0.000,3.748
0min4sec,3,90,0.000,3.750
0min4sec,4,0,0.000,3.756
